Year,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IS,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,TR,GB
1990,250.70494065286846,380.21434809254265,624.5117958429685,903.0622977189081,812.664855646109,700.6749071839274,720.4751488245518,1038.0752100877685,475.00432853177887,200.91046349360514,216.72532777741978,1259.3238236492455,364.2138508777058,502.9190199395935,811.5914052045738,3.252302626503816,595.0582159132819,186.04572194332047,425.47819463689996,130.76872439817674,1700.6016813556307,648.896804488481,1.127453436308605,1472.5234371685438,550.9228455903851,815.769038960324,10.886547929708941,505.2196122115812,522.5753260510445,701.4639700839708,720.0269482521342
1991,260.4617118850616,386.7163538065911,612.7051535210054,890.1736117316141,806.7021403223829,704.6827712368332,738.6097281225442,1024.5951689089788,469.75113140411327,183.06274289953006,182.0603966886064,1198.633710988047,222.97035573520182,508.43583653697766,810.7453840978644,3.642622426940939,567.3072180774924,192.25729273801255,456.44851160556374,160.95977856102152,1198.7516274192774,623.8770977415311,1.3322088486496133,1439.0978158929397,557.9882857503218,859.6193334962087,16.66420067739899,393.2167935168826,457.3699092057237,698.6082172547405,705.8246992433357
1992,202.32609855889007,369.6535017987612,709.8505629034329,889.3997591105912,801.2431094415182,674.9803085891783,710.4590543083177,1038.1776267701487,513.525444625253,167.5345999328561,183.5482847953487,1221.7330653984213,340.91858364976235,532.6651889830104,811.4757286061582,3.235804665146426,556.1273743006623,109.58151192336324,521.2010438091094,160.2968695905029,1096.7966878380287,612.6612234229588,0.7937837121808716,1416.612094987235,658.6610673487675,745.859506574531,18.95265459388444,465.3556847279708,374.5951647231254,700.0030352624746,674.399521078464
1993,185.6339806083732,380.2513857188222,704.3199815329414,889.3269000372605,808.9514398346041,666.0944290047045,673.3438140481516,1034.6129214091088,483.9430350639934,203.7615257715747,169.44630611405157,1185.3612889267015,361.5383642566077,525.2621488056535,794.3240991347899,2.576128873871261,548.3276372825947,87.05843796096997,570.5048150726075,142.43568858245567,1490.5772248095036,612.953852401732,0.8737126117480993,1282.8385562204335,576.6013541929862,691.4731448139289,21.255896785529742,458.49366080059025,302.38446598647465,648.0942446898503,610.0194153078279
1994,204.72971628060102,388.07628309045396,637.8412988126739,894.8752063903884,813.3975302135597,661.1758164727779,670.5632891115127,1233.13986941178,475.56059249453926,266.6072851039421,155.4118356999529,1166.3996115759276,242.57447854616973,518.8095853619808,782.4101833122797,2.4996442786682747,542.2031550438836,118.34255049376796,432.68111366439933,134.15038244143855,1248.8634644776137,626.6887808772735,1.7714105733110017,1241.4516444549527,536.4923687967898,689.1007748808343,26.365561048952745,418.45572329256646,258.2696292524658,698.2668609173385,580.2930063262189
1995,216.02551078350973,372.7500829869944,592.6296603291931,884.3864651823336,822.0988774674539,639.6767437427384,635.5292042703387,1354.0814349536493,524.2225453084753,239.47892864838676,144.93858144441066,1103.9808357442291,274.5602259503025,523.3747329916855,790.6148217264648,2.717089790622143,573.156121115228,69.85055915550909,990.3127284610903,135.91637988118302,1036.7041404840277,599.1776190113076,1.753775116763582,1072.5159355470641,607.671865310957,625.3764377574056,22.564510674778038,424.6014547267727,244.34026971856142,653.0220159782529,562.5797296299479
1996,223.0362242177451,343.3226850384659,562.0423152546751,895.7335585674022,823.1157491905783,621.2988128674567,663.9854236514838,1315.0212425780937,409.88564843005236,295.0553506288303,145.41004037288712,1050.2276290166878,207.5055386587716,516.766698651443,775.975670764557,1.3116710264493858,551.6403097076179,99.17601788587834,965.6876974055398,195.09080913792414,1056.703682109792,569.7136264934854,2.201595145846506,1058.5038598757471,462.2511292653953,633.3515011469669,50.463103102361636,384.3908299753026,249.73133646748042,641.0707771259574,548.5360492490365
1997,216.1146440869845,312.41457668564715,584.6764970061636,905.279251804283,773.4952969955903,604.8852209483136,611.2858967894995,1255.7646746732414,451.6908648322094,263.34423326476264,142.0252490347379,1108.7094877189186,304.03486175317295,515.6583689147612,781.0012399871064,0.9316798111481378,542.1662233488078,69.55547493565156,512.1678328688108,133.24052184820846,1016.8501027299855,568.0299785542021,1.7301402328434397,1043.3146967149944,494.1793964361923,500.63642092136917,23.38375090269457,401.37818730061264,261.3547515363888,660.2470100087388,515.7792290215413
1998,188.83100700285075,331.5656529077601,601.007432416299,907.172913912435,767.7162146839762,605.3960414965774,569.2584473640695,1262.5539176263424,448.7355520577544,213.60281713484554,167.34057980834444,1096.0603361220703,339.24924258467286,516.1735859261039,757.0081111781981,0.3545729874940032,542.3366834022283,116.22207210283204,359.70720943259596,103.14693898898348,1011.4893658919115,549.8421558706262,1.6952586474669207,1014.6459876320251,502.63776175729095,424.8851972409501,25.330136725615535,415.0892778831513,244.88627946852048,692.575583279124,513.1458277395342
1999,181.65825032433767,277.2080591512748,539.7658406788228,921.7399281938053,721.1906474099403,583.1568913609126,530.9025649211451,1237.6022202616523,528.9570386780241,205.5833246614255,119.67760246528705,1037.2328239926435,308.3382847723487,501.3051761529064,760.5924167752785,0.16349370009678216,523.6783182016919,123.23388270798175,484.1660343551916,145.10633630571022,980.8746428944659,531.4992396374738,1.7127784516646283,1006.169029653562,609.9536376338681,431.3972524411403,21.31506360447144,365.2095234886986,245.8597866692334,715.1929992475226,482.34280294326834
2000,166.44148616358325,286.49872109248287,505.7114796433312,899.7564596064234,726.0754101950548,589.759333391127,497.96866876057027,1177.6365105323812,493.4988368179757,171.02426727056115,96.38163436074237,1032.9931940198708,305.6042499549565,487.74146900829595,713.4136466825961,0.9247388676026665,419.4709971054609,107.64115430138143,99.17738378285927,133.37545365210667,889.1585850583652,534.5326409868688,1.5831955868544336,994.6326832021394,511.04538631317257,483.42471098192095,18.066290207184892,375.2119112305522,233.04404866456883,730.3658858805484,508.34980770250485
2001,182.65857162044375,272.4134906388049,558.2375820461924,833.7369685371796,725.9783598638235,605.2674943043604,489.74079595532584,1145.7990138216003,439.8860336388392,219.40737332492733,76.0834882311742,1042.5560759937666,320.6357183438035,477.3155520892772,734.2871773519614,0.8294667429023597,406.5008840347339,93.28659745020727,175.47601433601255,128.2151212869667,1064.2778601731288,549.8504544521678,2.6837313051716625,984.4693751786156,487.1856485805121,489.1012247852474,20.50911144753482,404.65723007134505,231.05030316676627,772.4108560498427,528.2954901329869
2002,174.18560137603814,278.950198522633,514.0472818161875,812.6427470828206,700.4535833117645,599.3219703904775,482.0359077109231,1106.8666098598528,494.67369724705884,241.8546906450689,81.37749574515645,1012.8433119277605,381.25763118470474,468.0294749652434,687.099261593615,0.8582957833653095,430.54804662407497,73.8452557918023,291.4943411420436,132.10084229635595,1014.4540247133617,542.3119246344344,2.0058370636170664,980.5782262822688,569.7475627106832,483.0463653244248,26.898175311843882,416.43390097442835,211.99500060960693,700.9174036462962,518.4378293390293
2003,224.0104294364048,281.4416879492939,568.0399381157964,820.0299271684113,631.8174795396249,568.2934131212576,512.6005936281146,1106.398126645592,435.28868711374633,304.07944789524254,88.1517196146906,968.9665924484914,410.5631091532016,526.5026117503118,652.8952307210272,0.6645870885398905,469.66122202841126,66.66839026633969,270.1859683065459,134.33642258138553,1027.4554180304767,547.7289726531609,2.8861884043575126,991.4350604173268,463.7209486681451,549.2163954387821,37.98969442259574,411.62281987108247,233.49669573764493,647.1046243126573,530.6845707859919
2004,206.33329809849678,285.87684560066987,569.3355491713916,828.6831847995356,625.2476656860239,559.7987188425767,441.9273562394303,1109.0772378398128,446.34687170788396,252.08975589976308,86.81039472855795,975.5005378017537,302.7773816559373,475.94988897027775,628.5353690028124,0.5367539525699943,482.00903554573364,73.38035083974614,291.6899563432783,99.50915327489709,991.5415201339426,532.9167028218029,3.522568726575483,983.0497261806012,510.78384475639655,475.32249578559623,22.364119002457816,383.2578167319979,234.4498089964183,614.8298020917149,536.453387073283
