Year,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IS,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,TR,GB
1990,219.35401086809387,350.934538601368,793.0164371487969,903.0622977189081,818.2325667273865,662.9790729508418,721.3427373755438,1038.3358440468048,472.94806896890725,195.57725890105786,132.55959402057906,1266.0276102260607,340.0323473207868,502.63335102565446,808.9297305079645,3.255912937659838,606.5728661136337,183.8819559421465,41.463974873502615,122.27868860666588,1700.6016813556307,692.5195590125857,1.2597272615696666,1432.5968849146418,559.2113008117311,810.9574951707914,8.397638327133949,487.85955851445044,497.93554025279593,644.4173244555478,723.8624659129846
1991,227.06980297579872,356.71104121595,598.897825791504,890.1736117316141,812.8262166436041,660.337303982174,740.0684572113238,1025.6938888068948,465.0281982671496,180.7780818266491,124.75743313461558,1203.1201679767426,192.45112195908428,508.8232601819096,808.6707550180358,3.646680428271521,573.9472602634769,190.60215285927865,44.476923070067954,153.50786224694227,1198.7516274192774,668.53137300571,1.5449572712665127,1402.6204193195558,567.9420402778552,860.3255056400187,12.975451200327468,386.4676837146228,437.37802750147483,643.9317175012765,704.6951441239065
1992,158.35238705365728,337.5183547014644,667.1946292339724,889.3997591105912,808.3294438590499,632.8569211119928,712.6599957769879,1039.423105756528,511.6240400270124,157.90968841213618,124.48769737067711,1219.156336762196,319.76419636675024,532.6524317165944,809.7563590914847,3.2393681806411627,568.3741214760121,107.63968412934973,58.17685157820903,147.76495307883246,1096.7966878380287,657.6834183637629,0.9236944265586743,1377.7172253766946,676.5163513553248,711.2863542616296,15.713001515303898,444.3990520396481,358.8791165207634,652.9414702106443,665.2409189060559
1993,145.96981909456125,347.8931610779337,663.3556387325854,889.3269000372605,811.6478689913005,624.5084178223846,675.0444584092437,1033.8549272086382,479.46336987659,201.02047589215255,93.28718317916012,1182.4165238983226,337.2865211881072,524.3260254802321,792.3725400627673,2.5799501005978285,557.0384210050798,85.98713366703953,70.85574526455059,135.73659090630326,1490.5772248095036,646.1582362972592,0.9110578300083377,1254.7468322714349,584.271504825925,664.9044871230428,16.810755597002988,443.121800323898,292.26374788266594,584.3856087771643,603.1374319590016
1994,152.32889937048742,358.736828290993,600.0092905261678,894.8752063903884,808.4033876148449,624.500946245193,673.2442606412006,1229.2428458571233,466.6983297958931,274.7687286293445,83.53029554358626,1163.302590938939,207.31975297883017,516.4890554694625,780.2395959533885,2.502786417204641,554.2631500864725,117.02123625465904,49.61712656159116,129.34070330693905,1248.8634644776137,662.66615165785,0.9296138544564457,1221.8791330542588,541.1590568102727,671.6064353910855,21.24942023379683,390.2507996905618,243.4308694853907,643.1802488348687,583.257417539757
1995,164.13171056834676,344.57433486736426,557.1292893445413,884.3864651823336,827.5900220825806,600.723497861487,636.4258428676126,1358.7693305886298,495.0857706223326,244.8806105902861,86.17314272482656,1105.5600679632937,235.70096740865625,521.1656147263144,788.7510846213864,2.7209142885703024,582.3200745458812,68.66322911031615,110.3603680339859,125.10498520512883,1036.7041404840277,625.1310714770892,0.7291294539258446,1082.293862501056,607.6097121573928,616.2159366943723,16.517354827850035,400.15694496191736,234.06720216513034,605.1002232198812,559.3585470331348
1996,178.5411322635119,318.3011921175732,528.0056459832666,895.7335585674022,824.3818718784481,594.7460056707148,665.3386322144684,1322.4409592794948,396.58796679455,307.6868340231355,91.94155446718364,1052.0590445141618,184.91120261650315,514.7071347095165,773.9804420742329,1.3129526857832023,557.5242831455238,98.26743630783734,93.51129150727931,183.6414887012113,1056.703682109792,589.7624417183769,0.8340227082697776,1063.2692263253075,451.2422273124284,623.0626888758841,43.460216654735405,356.74919312285914,239.45255785935993,595.9624142774121,532.6690785807108
1997,174.1180704160979,291.81905416630167,570.5523444200463,905.279251804283,773.8117142263762,578.1852334884537,611.8116908866488,1264.1080065422382,448.79767185205685,275.15843017598513,84.39837032474254,1111.8996539353002,276.30170450746755,517.0448674692597,779.2705784706999,0.9325146496885932,547.1457087856893,68.69848833811776,93.25572583045783,125.76949304785528,1016.8501027299855,585.3282223329373,0.5732180802074874,1052.1723289233694,486.2499655018722,491.86562331178527,17.844076696040407,396.2932606877037,249.69289346876084,610.2576795411229,495.3621113733079
1998,150.3638236643935,309.02567189355443,570.2304270956638,907.172913912435,761.5188156452891,581.7591119602795,566.4788757029216,1271.2490057793188,442.45758870631397,212.07784824421572,111.32821232883269,1099.1552067801456,316.8392787362047,517.5149717146583,755.5564111614585,0.3548555215299464,541.7774121924317,115.52022237137994,146.34069313770812,99.0333596823612,1011.4893658919115,565.6089380702213,0.6968826124577377,1025.847260737293,496.1030510325506,413.9533711178903,17.44990722889763,403.6947190290571,236.1618905137611,636.1738921667603,497.41845224001526
1999,145.14410567040125,257.6453699191036,515.8800358664713,921.7399281938053,748.9908147467308,559.7531872573489,529.3504170272906,1243.677905187979,514.9078050117502,205.43890485203158,94.55996023402083,1038.9748907931164,287.6731698981987,502.27782708358876,758.0042430114459,0.16360752655035626,521.5616694678315,122.45452988429098,216.48803781226388,140.58245146012314,980.8746428944659,544.1554009192006,0.5683965665447294,1016.1577543649713,618.281491126663,423.0912797359202,14.546894813827006,367.7417406716507,240.44928380998104,673.3950480161958,467.71095714410876
2000,136.7829073571235,274.00746998753164,487.6388916790246,899.7564596064234,747.7617634011849,563.5568024523093,496.30724572795873,1186.2431011103956,494.4225709159181,172.02636662325938,78.75749075184677,1034.8080990064125,280.17042844224596,489.30290718184705,712.2726521943166,0.9253410980567489,422.2234721640139,106.8827367642144,98.8014388712311,129.4038413393952,889.1585850583652,545.7178957139253,0.5962331599283188,1007.5483656189786,516.5997846445588,473.81850746018307,14.267090341850409,376.57383159510766,218.94305438862818,713.9268363054755,500.34211093020656
2001,157.83122417288885,260.1417027928724,545.7538651546671,833.7369685371796,745.8464907576965,581.7589521079799,486.7383433496706,1155.5148092413897,441.5736296877816,225.4399388513011,60.66292230923671,1045.1686577976268,299.6503419344647,478.20681757542616,733.1125706605599,0.8299834442882356,408.9733401616432,92.64262857870298,177.81662156110502,126.0599580294047,1064.2778601731288,563.6330615876667,1.1340969492969992,999.439355096882,491.09459564682595,479.54802066010893,14.818015718265752,405.62938362114505,220.12358847118006,764.5812744620129,516.0691850304446
2002,144.5974577423672,269.97891735534694,496.7866369068794,812.6427470828206,703.6853356739105,573.777627225839,476.8945320803757,1121.199375263404,502.2332310996956,253.31963009966387,66.8125321868969,1016.2704263286093,362.72625057783404,465.40889521236727,685.5013121347679,0.8588060972782304,432.772201139179,73.4435476575127,296.1013131399286,130.43212962503404,1014.4540247133617,558.4169483916816,0.6784659994653982,994.9710052573095,587.4604915202038,468.79877205434826,21.542332053683197,418.380853338855,198.6457318481388,677.0454822034958,502.64181713534526
2003,199.27409734708706,271.97669505682774,541.9181344827862,820.1616464704186,627.0274822578277,543.3365250255836,509.76128954831285,1118.5013583181153,434.61166078988305,316.92124135821695,72.72448931568971,972.1897484862476,392.9947293476589,526.3651325310112,653.737091433746,0.6649783223706033,470.91521111128486,66.26728241843335,274.7851431208175,132.99711938282167,1027.4554180304767,562.6836834165862,0.9063326212074551,1002.0887306168856,461.75096198890765,538.605622369748,32.275473649562514,415.5218518552795,217.32955236766264,624.1408443319104,517.6527931710018
2004,175.60091927200727,278.2272922270895,552.2096507007083,829.8602476853714,621.4098805521978,530.1872935631753,433.7980102062945,1118.6795949262623,448.3562548755632,263.5373620241565,69.65414333968222,978.0250220185471,285.10512099884346,476.6063563192131,629.5587592054821,0.5370653876139021,475.10332524001404,70.89640826346229,297.89523656003473,97.98912410811285,991.5415201339426,545.6837859038279,1.0267765746371778,983.6853031292592,517.1227069760804,461.06591257445365,17.303460723357304,388.6136403846691,217.12216656040403,579.2781972088195,526.6292893588272
2005,171.67703453891352,283.5283002677256,514.844084502804,849.4020761335472,652.5058074672997,523.2498967451335,398.70777463874117,1098.0417411705662,468.59656187212386,149.9183334133126,80.8864413935598,975.9575119503378,300.5760198256099,393.0370042143762,635.4170234252625,0.5276214754221215,414.0040964930549,107.65014373894013,294.7530731932672,89.14410790189467,937.2056832553895,534.0517732120487,0.8980648829964457,966.3356041627422,584.2128524680103,426.42007533370924,13.89892705263698,388.6025432573554,186.8269211309703,609.18639605341,522.1891374027929
2006,162.69779466693643,257.8740085253348,504.7567305285722,841.5117268170493,634.9814410512341,514.6828915943512,499.59559146185615,1054.1557961474407,415.15983184845436,270.7462168537985,73.5240295261028,911.371006308421,313.56689110155605,400.1718232351143,592.1237017889696,1.013814770618401,405.9821452257638,104.81194562942757,295.17191507861753,114.45606894381245,938.5683848114278,522.1017258367076,1.0193293924335063,980.7490363947501,479.57503325465984,468.2550940708491,17.835649234770788,397.77485857029444,177.97317935003508,579.042304133196,551.2043932240917
2007,143.81442430411096,245.76958235834837,622.2170212515719,844.8245516454804,652.9693466064189,532.2424719292052,463.70855325648444,1080.4147877650312,429.32679570354674,240.5563699255995,70.05363247634882,929.5461994991218,404.0426182200513,401.0545683244232,561.9512908496245,2.108911164229577,396.4292508152504,89.18907026432903,291.95797721647386,109.80426369388844,939.9163036252768,532.4052674845913,1.2977075159299045,966.6547692681779,446.71920462707055,569.9372575481345,15.247264377712387,421.8585657988156,178.82418825590884,633.4559530324921,535.9282192189357
2008,134.35218870012275,231.66591772221986,597.5421588272357,844.459796661777,616.7945291420135,499.24185173291346,435.0920131114394,1065.273400140911,355.2133715617384,168.0991210468982,66.62145447478618,914.4273444992975,349.9095912510029,381.00906214447616,525.3223209702602,0.9430967431891886,386.2105791315938,81.7498863743288,267.07803701698805,116.28276074848213,913.6633631696858,531.9110144914504,1.0517818032864708,946.7158494295688,439.3817057379499,527.548379756367,15.015961287759312,368.5903093176694,180.44571841954425,641.2547478513394,530.6581804220159
2009,113.13624515371207,222.87420346461224,558.3629131710162,826.6672984164964,582.755863998144,497.1386330197308,433.3587999264405,1035.7613156891691,317.3143316521854,189.74306025221748,68.86350786920052,903.219470895375,275.4231518881905,334.82675375487406,500.79515818338075,0.8176623811159737,366.1467496353471,79.94502162383117,308.8399069221039,99.79148576204788,914.8835475670832,501.05199325655195,2.3935375879911738,929.6015060247549,412.9638721135117,458.49119482615276,17.829393179308383,352.15341469674775,166.27327593916806,652.4716180289001,481.04149744299536
2010,130.98342993871373,220.85691210848762,562.1669550888853,784.2548843041748,568.8934810914709,482.41791053522064,382.3374693053138,1025.3452788303987,241.76723605138525,235.18300872929348,68.3985019726903,931.753424632878,214.01286298514367,337.80561146251983,513.433754247051,0.861647451474046,348.9468239456156,328.1286427074571,256.14822492730684,123.6757071935449,937.4107595739412,498.2453335195681,17.285025788038094,920.5229874886563,277.1653489141034,382.8925365737664,23.638468953782937,355.43003746904446,142.52396148094718,560.3654610068679,492.3205137771751
2011,136.4250160465373,197.41151946101186,618.181598195993,811.8815600461389,562.558729221751,499.93982927519176,343.0048633364472,1047.4273851493847,309.57685612153205,188.37202086530928,55.835680984998476,938.5461662337391,306.7435528214837,341.2670813481352,482.0924642173307,0.6982886318548805,335.3588757232521,270.953445941437,256.6340346647215,136.51457529531442,935.5423916604873,487.76606094189884,12.819673045139451,923.0184313476732,343.08047826888424,457.89154093310015,16.483893950104292,366.91628229401164,156.50985851717198,567.6866372506297,470.4732738943159
