country,CI_top_down,CI_bottom_up,diff_bottom_up_vs_CI_top_down,diff_pro
SE,13.29,40.9,27.6,67.0
NO,19.45,13.84,-5.6,-40.0
FR,56.57,35.48,-21.09,-59.0
LT,60.45,109.49,49.05,45.0
AT,106.16,110.71,4.55,4.0
FI,115.63,144.92,29.29,20.0
SK,144.24,208.56,64.33,31.0
LV,148.24,221.8,73.56,33.0
DK,200.42,222.01,21.59,10.0
BE,218.56,182.04,-36.52,-20.0
GB,256.56,276.12,19.56,7.0
SI,260.85,336.93,76.08,23.0
IT,262.45,376.2,113.75,30.0
HU,265.61,312.76,47.15,15.0
ES,291.1,326.53,35.44,11.0
RO,308.48,302.41,-6.07,-2.0
PT,326.01,229.44,-96.57,-42.0
IE,369.52,341.23,-28.29,-8.0
DE,423.38,426.93,3.55,1.0
BG,449.79,522.62,72.83,14.0
NL,465.48,400.54,-64.94,-16.0
CZ,470.43,453.15,-17.28,-4.0
GR,691.17,667.18,-23.99,-4.0
CY,703.98,717.68,13.7,2.0
PL,833.3,834.26,0.96,0.0
EE,943.07,894.98,-48.09,-5.0
