Year,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IS,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,TR,GB
1990,968.855,695.911,559.278,0.0,2109.7249999999995,17207.965,106.91800000000002,82.828,562.228,500.2009999999999,4591.319,173.486,144.066,237.52400000000003,54.327000000000005,0.0,3913.5739999999996,57.969,164.86100000000002,132.775,0.0,2047.624,0.0,9209.579,145.298,1350.148,98.893,178.925,471.17199999999997,1221.2089999999998,3480.6020000000003
1991,1104.558,693.868,1561.94,0.0,2064.7739999999994,17550.977,127.78999999999999,62.96,625.037,456.262,4816.28,192.82,125.064,241.999,50.899,0.0,4434.139,48.683,178.19799999999998,116.98200000000001,0.0,2081.409,0.0,8592.612,164.50599999999997,7.763,161.364,101.315,442.84200000000004,1196.273,3777.547
1992,1156.606,746.9229999999999,1800.908,0.0,2079.4959999999996,15864.306999999999,149.311,28.23,689.388,479.67900000000003,3864.742,244.45100000000002,116.94900000000001,246.55700000000002,52.094,0.0,4485.3769999999995,33.87,175.86,111.669,0.0,2247.076,0.0,8376.967,181.539,3090.795,141.282,132.689,421.06899999999996,1202.706,4284.7480000000005
1993,1109.468,740.217,1779.196,0.0,2079.9269999999997,15319.767,164.901,26.579,758.0819999999999,535.692,3509.5110000000004,221.807,139.37,249.44500000000002,55.452999999999996,0.0,5139.654,13.832999999999998,171.907,46.583000000000006,0.0,2185.26,1.29,8239.435,267.66,2582.496,187.839,117.729,348.581,1502.5260000000003,4084.576
1994,1340.301,736.145,1726.7530000000002,0.0,1883.922,14712.428999999998,192.666,94.232,1319.9950000000001,594.456,3599.8929999999996,206.56899999999996,142.337,254.575,60.967999999999996,0.0,5425.687,13.511,138.283,32.247,0.0,2362.194,19.841,7651.85,328.04200000000003,1071.326,218.077,139.46,347.651,1546.111,3322.2599999999998
1995,1395.137,751.0229999999999,1873.371,0.0,1678.905,15087.430000000002,245.55200000000002,62.69800000000001,2335.771,581.0970000000001,4059.3869999999997,180.47899999999998,154.66299999999998,254.472,63.025999999999996,0.0,6159.842000000001,16.060000000000002,113.577,72.124,0.0,2200.801,24.291,2669.734,501.19,832.4790000000002,250.745,135.732,368.49,1617.989,3984.2290000000003
1996,1352.363,718.11,1918.223,0.0,1986.996,12622.146,343.205,57.604,1907.389,744.631,3983.0389999999998,173.29500000000002,138.446,278.29599999999994,64.851,0.0,6720.331999999999,15.406,104.381,65.797,0.0,2367.82,30.911,2506.531,477.872,723.885,306.026,143.13,370.31700000000006,1766.979,5312.482
1997,1286.94,593.383,500.408,0.0,2039.6200000000001,12353.251000000002,370.145,34.774,2340.363,787.7179999999998,3859.5060000000003,186.83700000000002,135.118,197.476,70.515,0.0,8141.898000000001,10.797,70.608,47.349,0.0,2763.002,26.075,2364.029,571.946,649.8760000000001,240.058,75.332,407.11800000000005,2182.2710000000006,5897.228999999999
1998,1206.718,683.9830000000001,634.949,0.0,1965.327,11752.289,457.206,29.297000000000004,2689.9179999999997,819.3849999999999,4677.849,171.891,133.276,113.17099999999999,95.388,0.0,9240.411000000002,10.956999999999999,37.253,18.691,0.0,3015.161,24.57,2147.593,625.646,558.0640000000001,320.221,109.838,299.335,2713.5719999999997,5800.319
1999,1182.681,640.137,503.07,0.0,1475.8310000000001,10894.791000000001,503.6410000000001,13.278,4176.736,756.186,2923.353,180.981,131.618,112.94600000000001,97.34599999999999,0.0,10020.207,9.731,40.477,21.271,0.0,2478.241,37.226,2138.119,710.812,566.1949999999999,263.246,63.991,279.56000000000006,2925.7,5985.884
2000,981.491,396.46500000000003,409.106,0.0,1828.0490000000002,9560.924,518.2570000000001,25.070999999999998,3252.063,659.561,4136.192,197.64800000000002,137.168,89.973,123.243,0.0,0.0,8.693999999999999,9.34,25.846,0.0,2575.632,28.306,1969.5300000000002,706.7389999999999,479.116,150.286,72.934,307.068,3297.2520000000004,6574.174000000001
2001,933.147,366.228,359.378,0.0,1814.785,9463.270999999999,501.58900000000006,29.244,3021.715,659.485,4283.614,170.091,129.37199999999999,87.97099999999999,127.775,0.0,0.0,10.791,12.176,18.270999999999997,0.0,2475.2449999999994,40.67,2052.5400000000004,692.702,448.55799999999994,225.436,66.492,401.401,3454.205,6461.090999999999
2002,971.8510000000001,273.581,368.233,0.0,1931.917,8632.519999999999,528.313,35.041,3629.3529999999996,644.3289999999998,4325.1849999999995,182.38299999999998,134.268,124.873,136.4,0.0,0.0,6.664,25.669,18.618,0.0,2538.0820000000003,35.333999999999996,2195.3529999999996,761.7280000000001,555.85,215.283,39.865,314.09700000000004,4000.242,7170.122
2003,952.798,315.445,538.0550000000001,1.93,1844.245,9372.580999999998,537.879,30.254,3643.4610000000002,786.226,4372.648000000001,171.76399999999998,139.526,81.805,115.154,0.0,3023.9520000000007,7.524,27.346,23.455,0.0,2613.396,48.742000000000004,2740.406,841.584,559.788,220.607,31.919,378.119,4392.913,7442.456
2004,1096.257,275.631,401.302,4.825,1867.2159999999997,9832.864,562.0699999999999,21.592999999999996,3794.166,729.1230000000002,4684.389999999999,171.673,124.21400000000001,55.861000000000004,116.457,0.0,6795.775,27.429,31.635,17.627,0.0,2563.136,58.198,2515.266,835.737,698.6279999999999,195.79100000000003,34.870000000000005,359.43199999999996,4450.974000000001,7338.5419999999995
2005,1079.878,269.36,395.25499999999994,5.79,1890.049,8922.394999999999,547.769,20.565,3849.547,679.9260000000002,6251.576000000001,146.87,120.11599999999999,70.904,111.82999999999998,0.0,6888.356,27.988,30.892,18.422,0.0,2581.341,52.031000000000006,2571.787,908.356,615.865,164.42800000000003,32.29,355.612,3528.2719999999995,7148.523000000001
2006,1105.154,308.602,405.232,6.755,2106.508,9400.074,511.379,16.017,4338.330999999999,754.1050000000001,6332.161,116.839,108.72500000000001,39.354,204.113,0.0,6779.633999999999,25.107,31.99,16.831,0.0,2647.9030000000002,65.048,2842.868,948.467,677.376,146.344,31.326,341.083,3111.7490000000003,7052.077
