Year,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IS,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,TR,GB
1990,2999.115,5724.8550000000005,9060.43,521.092,13021.21,81119.063,5861.981,4899.617,16156.943000000001,3847.293,6173.824,8585.135,1248.196,5088.651,2991.34,1.027,33614.252,2551.888,10.605,756.7620000000001,503.94100000000003,11602.372000000001,47.269000000000005,34871.67800000001,4025.745,21488.397,1096.583,1307.313,2898.0769999999998,7825.886,53148.744
1991,3158.901,5758.267999999999,7280.025,541.383,12670.944,80211.226,8085.154999999999,4510.095,16362.019,4201.306,8721.635,8402.461,838.3330000000001,5444.572999999999,3158.374,1.027,32128.16,2706.018,10.844,752.164,462.55899999999997,12142.495,51.77400000000001,34493.328,4252.66,19790.686,1523.488,1162.0079999999998,2930.691,8019.365999999999,51998.21
1992,2335.9770000000003,5608.288,6713.417,633.744,12418.73,75784.676,6874.413,3761.277,19050.034,3627.775,6896.229,8855.663,1180.922,5833.169,3332.272,1.027,32326.711000000003,1308.202,11.059,571.554,447.435,12347.285,49.101,33583.61,5127.921,15731.66,1657.3649999999998,1255.491,2919.2019999999998,8916.482,50867.775
1993,2364.766,5669.683,6691.874,675.692,12406.626,74580.69199999998,7373.675,2728.3669999999997,16092.934000000001,4345.801,3815.8160000000003,8845.192000000001,1282.748,5593.6630000000005,3418.218,1.027,30997.429999999997,963.915,10.533,489.683,609.401,12742.458,55.57,33344.920999999995,4521.386,16092.672,1739.0430000000001,1295.688,2925.4840000000004,8563.302,46716.91100000001
1994,2521.7200000000003,6102.363,6028.538999999999,703.616,12534.777999999998,75214.70000000001,8564.204000000002,2606.0679999999998,16179.512999999997,5531.182000000001,3718.076,8858.792000000001,848.066,5421.114,3537.9019999999996,1.027,31498.890000000003,1033.404,10.294,542.173,531.814,13400.194000000001,54.576,33451.303,4007.9790000000003,15387.54,1895.1349999999998,1179.689,2611.638,10060.178,46453.132
1995,2770.8660000000004,6256.357,6180.118,647.052,13629.312,72289.47,7968.785000000001,2475.116,17670.102,5193.494000000001,4976.297,9000.716,899.842,5539.896999999999,3707.8500000000004,2.054,34414.893,934.429,9.84,523.902,484.599,14006.462999999998,54.388000000000005,34193.74799999999,4875.438,15743.960000000001,1778.004,1250.903,2898.1299999999997,10472.96,48155.329000000005
1996,3219.27,6244.803999999998,6121.790999999999,684.564,14412.357,77063.751,11472.244999999999,2556.46,14723.396999999999,6806.196,5607.851,8786.217,1034.9660000000001,5627.076,3965.1140000000005,1.027,32996.837,1168.382,7.941,531.737,509.855,14478.088,53.547,35290.28600000001,3637.3830000000003,16256.665000000003,2707.0199999999995,1170.574,2937.221,11839.911,47821.872
1997,3135.908,6036.543000000001,6655.953,723.164,13480.779,74266.64499999997,9315.24,2532.227,18083.792,6220.340000000001,4662.01,9441.874,1118.373,5978.032,4147.349,1.027,32270.875,933.133,11.927,599.528,498.247,14551.134,48.73500000000001,34999.804000000004,3888.046,13145.168999999998,1679.085,1287.3129999999999,2903.097,12857.974,45018.587
1998,3000.237,6672.853999999999,6390.858,794.927,12993.742,74743.339,8390.819,2484.815,17349.513,4715.0199999999995,7479.475,10068.905999999999,1344.952,6407.016,4370.444,1.027,32541.371,1251.713,20.072000000000003,574.121,505.718,15037.244999999997,50.454,34453.167,4694.954,10748.669,1846.8589999999997,1383.3079999999998,2880.7309999999998,13706.603,46160.843
1999,3048.542,6279.267,5467.787,847.616,12531.400000000001,72989.364,7647.811,2400.9900000000002,21119.817,4810.432,8115.189,10501.118,1368.769,6487.855,4615.7880000000005,1.027,31920.476000000002,1064.5819999999999,23.431,550.174,529.154,14206.042,53.012,34057.26,6332.335,10080.935,1466.7680000000003,1225.888,2916.0060000000003,15387.981,45174.424
