,sum_3,count_3,sum_2,count_2,sum_1,count_1,EF,Verified_EF,Coverage,EF_round_in_gCO2_kwh
"('AT', 'gas')",6660.371,9.0,7457.226,12.0,7457.226,12.0,0.288710810076946,True,68.0,288.71
"('AT', 'hard_coal')",693.857,1.0,1439.148,3.0,1439.148,3.0,0.8840696448879658,True,39.0,884.07
"('BE', 'gas')",14216.707,17.0,16372.357,19.0,17181.875,20.0,0.3896411512050324,True,64.0,389.64
"('CZ', 'hard_coal')",1243.426,3.0,1243.426,4.0,1243.426,4.0,0.9855463062903395,True,36.0,985.55
"('CZ', 'lignite')",19775.004,18.0,26607.733,25.0,21876.551,21.0,0.9282958122838225,True,58.0,928.3
"('DE', 'gas')",14844.429,21.0,29445.917,58.0,29024.315,53.0,0.33409058508965667,False,17.0,334.09
"('DE', 'hard_coal')",61792.6,38.0,78632.75,51.0,73274.329,48.0,0.8710509333769948,True,85.0,871.05
"('DE', 'lignite')",129230.488,34.0,129230.488,35.0,129230.488,35.0,1.125559682246739,True,96.0,1125.56
"('DE', 'other_fossil')",3303.138,3.0,3759.405,4.0,6423.292,11.0,1.6196947200408853,True,50.0,1619.69
"('DK', 'gas')",273.443,1.0,273.443,1.0,273.443,1.0,0.32978340540377843,False,10.0,329.78
"('DK', 'hard_coal')",4792.089,6.0,6332.337,8.0,5562.213,7.0,0.7758404859822486,True,69.0,775.84
"('EE', 'other_fossil')",9592.431,11.0,9592.431,13.0,9592.431,13.0,1.0579733616028824,True,109.0,1057.97
"('ES', 'gas')",25976.04,61.0,26795.465,72.0,26795.465,72.0,0.38650629282595605,True,48.0,386.51
"('ES', 'hard_coal')",27162.324,17.0,35004.169,26.0,35004.169,26.0,0.9757768006040003,True,84.0,975.78
"('FI', 'hard_coal')",4093.411,9.0,5099.777,12.0,5099.777,12.0,0.6744544496111677,True,69.0,674.45
"('FI', 'other_fossil')",725.116,1.0,725.116,1.0,3397.165,10.0,0.7598138118077016,False,13.0,759.81
"('FR', 'gas')",15259.9,11.0,19720.563,18.0,20270.423,19.0,0.39698467581491786,True,49.0,396.98
"('FR', 'hard_coal')",5651.195,5.0,5651.195,5.0,5651.195,5.0,0.8349449518707523,True,97.0,834.94
"('GB', 'gas')",72157.153,47.0,88668.614,77.0,91207.961,84.0,0.467992042599025,True,56.0,467.99
"('GB', 'hard_coal')",6589.546,15.0,11004.849,25.0,11004.849,27.0,1.1032228278975011,True,39.0,1103.22
"('GR', 'gas')",10755.974,11.0,15146.233,14.0,15146.233,14.0,0.3321348675629004,True,71.0,332.13
"('GR', 'lignite')",13763.479,12.0,15188.996,14.0,15188.996,14.0,1.4017120235370724,True,90.0,1401.71
"('HU', 'gas')",4497.068,10.0,4497.068,10.0,4497.068,10.0,0.3719161361013882,True,72.0,371.92
"('HU', 'lignite')",3850.49,3.0,3850.49,3.0,3850.49,3.0,1.3556188908566877,True,81.0,1355.62
"('IE', 'gas')",8978.536,7.0,12047.551,16.0,12047.551,16.0,0.34741631937731676,True,60.0,347.42
"('IE', 'hard_coal')",1894.775,3.0,1894.775,3.0,1894.775,3.0,1.032204433154683,True,89.0,1032.2
"('IT', 'gas')",61986.934,46.0,72774.603,69.0,73504.645,72.0,0.38773537339336706,True,50.0,387.74
"('IT', 'hard_coal')",17039.711,15.0,25848.683,18.0,25848.683,18.0,0.9976733173467555,True,59.0,997.67
"('NL', 'gas')",27115.014,18.0,36881.05,34.0,38298.322,37.0,0.35388276947884495,True,38.0,353.88
"('NL', 'hard_coal')",7229.582,2.0,27130.255,6.0,27130.255,6.0,0.9485617432852761,True,43.0,948.56
"('PL', 'gas')",1294.905,2.0,2216.311,3.0,7245.647,5.0,0.37031129840376764,False,10.0,370.31
"('PL', 'hard_coal')",44401.449,52.0,45302.785,56.0,64890.861,82.0,0.9424092048218163,True,56.0,942.41
"('PL', 'lignite')",35099.139,13.0,41691.758,19.0,45574.123,26.0,1.1586474223906513,True,78.0,1158.65
"('PT', 'gas')",6169.294,7.0,10187.982,10.0,10187.982,10.0,0.4303281250620889,True,42.0,430.33
"('PT', 'hard_coal')",3065.689,2.0,11165.454,6.0,11165.454,6.0,0.5464388072447617,True,27.0,546.44
"('RO', 'gas')",1790.651,3.0,6987.634,21.0,6987.634,21.0,0.3150278073379388,False,17.0,315.03
"('RO', 'hard_coal')",852.205,4.0,852.205,6.0,852.205,6.0,1.1574392746161897,True,72.0,1157.44
"('RO', 'lignite')",12869.138,11.0,12869.138,14.0,12869.138,14.0,1.0007634466211848,True,88.0,1000.76
"('SE', 'gas')",408.286,1.0,408.286,1.0,408.286,1.0,0.3618049393281159,,,361.8
"('SK', 'hard_coal')",782.936,2.0,782.936,2.0,782.936,2.0,0.9030902571440886,True,65.0,903.09
"('SK', 'lignite')",1167.766,2.0,1167.766,3.0,1167.766,3.0,1.2955465566242867,True,87.0,1295.55
Total,689045.6889999999,554.0,851948.3679999999,797.0,880548.791,852.0,31.200615765207495,35.0,2351.0,31200.59
